"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.232031300E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.732031300E-2,-8.034896851E-2,7.641887665E-2,3.276491165E-2
4.232031300E-2,-1.529293060E-1,1.629219055E-1,9.367942810E-3
4.732031300E-2,-2.295608521E-1,2.677884102E-1,-2.059268951E-2
5.232031300E-2,-2.993597984E-1,3.851356506E-1,-4.249191284E-2
5.732031300E-2,-3.093557358E-1,4.862680435E-1,-7.649946213E-2
6.232031300E-2,-2.353763580E-1,5.094404221E-1,-2.108368874E-1
6.732031300E-2,-1.579365730E-1,5.199556351E-1,-4.609613419E-1
7.232031300E-2,-9.567022324E-2,5.239415169E-1,-7.734928131E-1
7.732031300E-2,-1.038599014E-2,4.737429619E-1,-1.103579044E0
8.232031300E-2,1.008987427E-1,3.451457024E-1,-1.404808521E0
8.732031300E-2,1.803994179E-1,1.572184563E-1,-1.634233952E0
9.232031300E-2,2.068424225E-1,-5.621910095E-4,-1.757853508E0
9.732031300E-2,2.035045624E-1,-1.688671112E-1,-1.762782097E0
1.023203130E-1,2.358512878E-1,-3.479194641E-1,-1.573178768E0
1.073203130E-1,3.184247017E-1,-5.596346855E-1,-1.205345154E0
1.123203130E-1,3.843736649E-1,-7.310800552E-1,-6.843228340E-1
1.173203130E-1,3.933596611E-1,-7.764358521E-1,-1.144914627E-1
1.223203130E-1,4.151959419E-1,-7.709269524E-1,4.141049385E-1
1.273203130E-1,5.066399574E-1,-7.808732986E-1,8.050975800E-1
1.323203130E-1,6.245021820E-1,-8.403277397E-1,1.067248344E0
1.373203130E-1,7.117807865E-1,-8.920783997E-1,1.260400295E0
1.423203130E-1,7.761027813E-1,-9.454669952E-1,1.422734737E0
1.473203130E-1,7.434799671E-1,-9.731836319E-1,1.495508671E0
1.523203130E-1,6.494085789E-1,-9.434971809E-1,1.525478363E0
1.573203130E-1,5.165348053E-1,-8.374447823E-1,1.525101662E0
1.623203130E-1,4.279026985E-1,-7.193875313E-1,1.490489006E0
1.673203130E-1,3.773977757E-1,-6.001420021E-1,1.414496422E0
1.723203130E-1,3.087329865E-1,-5.221915245E-1,1.301929474E0
1.773203130E-1,2.332358360E-1,-4.635748863E-1,1.131900787E0
1.823203130E-1,1.783823967E-1,-4.219927788E-1,8.999443054E-1
1.873203130E-1,1.529712677E-1,-3.974938393E-1,5.399513245E-1
1.923203130E-1,1.738278866E-1,-3.877735138E-1,1.000432968E-1
1.973203130E-1,1.447906494E-1,-5.313644409E-1,-3.398494720E-1
2.023203130E-1,1.868224144E-2,-4.762215614E-1,-5.511770248E-1
2.073203130E-1,-1.485829353E-1,-4.988369942E-1,-6.653451920E-1
2.123203130E-1,-2.729165554E-1,-6.260616779E-1,-7.599992752E-1
2.173203130E-1,-3.569402695E-1,-8.049933910E-1,-8.308062553E-1
2.223203130E-1,-3.689711094E-1,-9.618668556E-1,-8.617119789E-1
2.273203130E-1,-3.550353050E-1,-1.107972383E0,-9.187412262E-1
2.323203130E-1,-2.845544815E-1,-1.227735043E0,-9.517359734E-1
2.373203130E-1,-1.933367252E-1,-1.310358524E0,-9.601702690E-1
2.423203130E-1,-9.327960014E-2,-1.330887794E0,-9.376201630E-1
2.473203130E-1,2.327013016E-2,-1.276413679E0,-9.532785416E-1
2.523203130E-1,1.020352840E-1,-1.166996241E0,-9.493222237E-1
2.573203130E-1,2.338149548E-1,-1.036006212E0,-8.946485519E-1
2.623203130E-1,3.924462795E-1,-9.530553818E-1,-8.381881714E-1
2.673203130E-1,5.561015606E-1,-8.802139759E-1,-8.231983185E-1
2.723203130E-1,7.012093067E-1,-8.302559853E-1,-8.878641129E-1
2.773203130E-1,8.112409115E-1,-7.722380161E-1,-1.019612789E0
2.823203130E-1,8.715310097E-1,-7.141220570E-1,-1.229057789E0
2.873203130E-1,8.843472004E-1,-5.872488022E-1,-1.371120930E0
2.923203130E-1,8.127079010E-1,-4.132168293E-1,-1.427924156E0
2.973203130E-1,7.134883404E-1,-2.625293732E-1,-1.446666718E0
3.023203130E-1,6.180059910E-1,-1.599526405E-1,-1.419926643E0
3.073203130E-1,5.650422573E-1,-4.947113991E-2,-1.356479645E0
3.123203130E-1,5.990126133E-1,5.576729774E-2,-1.200546265E0
3.173203130E-1,6.463129520E-1,1.062560081E-2,-9.914822578E-1
3.223203130E-1,7.222551107E-1,2.250146866E-2,-6.866083145E-1
3.273203130E-1,8.235306740E-1,2.785804272E-1,-3.157329559E-1
3.323203130E-1,9.050486088E-1,5.470824242E-1,2.254877090E-1
3.373203130E-1,9.899638891E-1,5.883307457E-1,4.222869873E-1
3.423203130E-1,1.087927580E0,6.125266552E-1,4.681491852E-1
3.473203130E-1,1.123198271E0,6.268053055E-1,4.935340881E-1
3.523203130E-1,1.227373838E0,6.689507961E-1,9.967517853E-2
3.573203130E-1,1.348460555E0,7.032625675E-1,-3.430967331E-1
3.623203130E-1,1.491449356E0,7.538666725E-1,-5.750141144E-1
3.673203130E-1,1.473033190E0,7.565917969E-1,-3.965015411E-1
3.723203130E-1,1.499464154E0,8.094136715E-1,-1.070367813E0
3.773203130E-1,1.570165515E0,7.627158165E-1,-1.500075817E0
3.823203130E-1,1.570860147E0,7.294509411E-1,-1.733989239E0
3.873203130E-1,1.556782603E0,6.801874638E-1,-1.970041752E0
3.923203130E-1,1.596050501E0,5.721244812E-1,-2.029421806E0
3.973203130E-1,1.592082262E0,5.044198036E-1,-2.140955448E0
4.023203130E-1,1.525047541E0,5.035257339E-1,-2.274341106E0
4.073203130E-1,1.432018399E0,5.496253967E-1,-2.416002750E0
4.123203130E-1,1.324559927E0,6.021339893E-1,-2.463796139E0
4.173203130E-1,1.198660374E0,6.603734493E-1,-2.322986603E0
4.223203130E-1,1.130225420E0,6.769721508E-1,-2.043913841E0
4.273203130E-1,1.136200547E0,7.089514732E-1,-1.970234871E0
4.323203130E-1,1.139791369E0,8.024423122E-1,-1.838648319E0
4.373203130E-1,1.122322083E0,9.229228497E-1,-1.629021645E0
4.423203130E-1,1.135715365E0,1.017745733E0,-1.482281208E0
4.473203130E-1,1.171114922E0,1.076236010E0,-1.365181446E0
4.523203130E-1,1.133056879E0,1.098526716E0,-1.210897446E0
4.573203130E-1,1.023649931E0,1.054355621E0,-8.749752045E-1
4.623203130E-1,7.648514509E-1,9.615845680E-1,-1.493349075E-1
4.673203130E-1,4.422700405E-1,7.485435009E-1,3.068695068E-1
4.723203130E-1,3.129377067E-1,4.237351418E-1,3.211526871E-1
4.773203130E-1,2.760746777E-1,1.811590195E-1,4.576005936E-1
4.823203130E-1,3.005067706E-1,8.782958984E-2,6.179428101E-1
4.873203130E-1,5.077940226E-1,-7.300138474E-2,5.044584274E-1
4.923203130E-1,8.132275343E-1,-3.514149189E-1,3.372859955E-2
