"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.508430250E1,2.568260100E1,4.179934025E1,NaN,NaN,3.209899902E1,4.890416145E0
8.135722270E-1,6.508443024E1,2.568318594E1,2.504987783E1,5.799999833E-1,5.099999905E0,8.147963524E0,1.245622349E1
1.358572227E0,6.508442470E1,2.568318525E1,2.314967150E1,5.799999833E-1,5.099999905E0,9.046143532E0,1.245622349E1
2.367572227E0,6.508441751E1,2.568313958E1,3.981135784E1,2.500000000E-1,5.099999905E0,9.052420616E0,1.158159542E1
3.367294426E0,6.508441122E1,2.568314704E1,4.121290900E1,0.000000000E0,NaN,5.569344521E0,7.269811153E0
4.367473019E0,6.508438357E1,2.568305570E1,3.464602565E1,2.000000030E-1,5.099999905E0,5.971520901E0,7.588067532E0
5.364572227E0,6.508438267E1,2.568305164E1,3.162203927E1,0.000000000E0,NaN,6.109943390E0,8.666197777E0
6.352116716E0,6.508443022E1,2.568316052E1,3.254859759E1,0.000000000E0,NaN,4.775982857E0,7.599901199E0
7.351834632E0,6.508444380E1,2.568318926E1,3.412995292E1,0.000000000E0,NaN,4.321628094E0,6.906294346E0
8.453461819E0,6.508446489E1,2.568320695E1,3.643811397E1,0.000000000E0,NaN,3.790092468E0,2.602314949E0
9.453854892E0,6.508446374E1,2.568321987E1,3.676245427E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.045286250E1,6.508446423E1,2.568322145E1,3.747894577E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.145317171E1,6.508447034E1,2.568323788E1,3.789825505E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.245351963E1,6.508447061E1,2.568324469E1,3.783007832E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.345306307E1,6.508447077E1,2.568324914E1,3.795867910E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.445336718E1,6.508447257E1,2.568325001E1,3.841833443E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.545345234E1,6.508447288E1,2.568325000E1,3.832574404E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.645359520E1,6.508447454E1,2.568325143E1,3.848089497E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.745375942E1,6.508446443E1,2.568323121E1,3.805029525E1,1.590000033E0,2.370000000E2,3.790092468E0,2.500000000E0
1.845342833E1,6.508445753E1,2.568321356E1,3.776428700E1,1.289999962E0,2.375000000E2,3.790092468E0,2.500000000E0
1.945360530E1,6.508444693E1,2.568318902E1,3.806293568E1,1.539999962E0,2.266000061E2,3.790092468E0,2.500000000E0
2.045310395E1,6.508443704E1,2.568317101E1,3.807764828E1,1.399999976E0,2.193999939E2,3.790092468E0,2.500000000E0
2.145324369E1,6.508442581E1,2.568315692E1,3.814857432E1,1.399999976E0,2.101999969E2,3.790092468E0,2.500000000E0
2.245382900E1,6.508441362E1,2.568314715E1,3.788032793E1,1.429999948E0,1.988000031E2,3.790092468E0,2.500000000E0
2.345289416E1,6.508440095E1,2.568314600E1,3.773183211E1,1.399999976E0,1.833999939E2,3.790092468E0,2.500000000E0
2.445304384E1,6.508438771E1,2.568315258E1,3.767720802E1,1.440000057E0,1.698999939E2,3.790092468E0,2.500000000E0
2.545310009E1,6.508437460E1,2.568316352E1,3.775484683E1,1.419999957E0,1.648999939E2,3.790092468E0,2.500000000E0
2.645320676E1,6.508436124E1,2.568317607E1,3.731509058E1,1.419999957E0,1.643000031E2,3.790092468E0,2.500000000E0
2.745352520E1,6.508434839E1,2.568318969E1,3.700228728E1,1.419999957E0,1.648999939E2,3.790092468E0,2.500000000E0
2.845303171E1,6.508433615E1,2.568319974E1,3.697079510E1,1.320000052E0,1.653999939E2,3.790092468E0,2.500000000E0
2.945370629E1,6.508432416E1,2.568320823E1,3.693911986E1,1.330000043E0,1.666000061E2,3.790092468E0,2.500000000E0
3.045370749E1,6.508431186E1,2.568321433E1,3.681021582E1,1.340000033E0,1.691000061E2,3.790092468E0,2.500000000E0
3.145382608E1,6.508429867E1,2.568322229E1,3.679575277E1,1.269999981E0,1.661999969E2,3.790092468E0,2.500000000E0
3.245377822E1,6.508428692E1,2.568323229E1,3.669535180E1,1.279999971E0,1.633999939E2,3.790092468E0,2.500000000E0
3.345313806E1,6.508427355E1,2.568324197E1,3.671232179E1,1.360000014E0,1.643999939E2,3.790092468E0,2.500000000E0
3.445381780E1,6.508426062E1,2.568324848E1,3.670982167E1,1.340000033E0,1.683999939E2,3.790092468E0,2.500000000E0
3.545372457E1,6.508424903E1,2.568325749E1,3.674406427E1,1.309999943E0,1.655000000E2,3.790092468E0,2.500000000E0
3.645328228E1,6.508423726E1,2.568326185E1,3.683940339E1,1.350000024E0,1.721000061E2,3.790092468E0,2.500000000E0
3.745348702E1,6.508422555E1,2.568326848E1,3.671410027E1,1.309999943E0,1.681000061E2,3.790092468E0,2.500000000E0
3.845324894E1,6.508421456E1,2.568327843E1,3.664159220E1,1.259999990E0,1.611000061E2,3.790092468E0,2.500000000E0
3.945380082E1,6.508420279E1,2.568328629E1,3.681261470E1,1.360000014E0,1.618000031E2,3.790092468E0,2.500000000E0
4.045331920E1,6.508419090E1,2.568329576E1,3.690172795E1,1.389999986E0,1.606999969E2,3.790092468E0,2.500000000E0
4.145355910E1,6.508417963E1,2.568330487E1,3.681853885E1,1.340000033E0,1.615000000E2,3.790092468E0,2.500000000E0
4.245364618E1,6.508416917E1,2.568331393E1,3.685516159E1,1.259999990E0,1.591999969E2,3.790092468E0,2.500000000E0
4.345306201E1,6.508415719E1,2.568332283E1,3.710473632E1,1.320000052E0,1.603000031E2,3.790092468E0,2.500000000E0
4.445300024E1,6.508414414E1,2.568332948E1,3.693365710E1,1.320000052E0,1.615000000E2,3.790092468E0,2.500000000E0
4.545303863E1,6.508413079E1,2.568333989E1,3.669769736E1,1.360000014E0,1.591000061E2,3.790092468E0,2.500000000E0
4.645371826E1,6.508411988E1,2.568335593E1,3.643402681E1,1.350000024E0,1.513000031E2,3.790092468E0,2.500000000E0
4.745313571E1,6.508411090E1,2.568337304E1,3.649335384E1,1.330000043E0,1.426000061E2,3.790092468E0,2.500000000E0
4.845368212E1,6.508410266E1,2.568339044E1,3.640155765E1,1.299999952E0,1.406999969E2,3.790092468E0,2.500000000E0
4.945319774E1,6.508409366E1,2.568340842E1,3.629236657E1,1.320000052E0,1.443999939E2,3.790092468E0,2.500000000E0
